2020-05-02,Apuane,Carrara,8
2020-05-02,Apuane,Massa,11
2020-05-02,Apuane,Montignoso,1
2020-05-02,Piana di Lucca,Capannori,3
2020-05-02,Piana di Lucca,Lucca,3
2020-05-02,Valle del Serchio,Castelnuovo Garfagnana,1
2020-05-02,Valle del Serchio,Minucciano,1
2020-05-02,Zona Pisana,Cascina,2
2020-05-02,Zona Pisana,Pisa,3
2020-05-02,Zona Pisana,San Giuliano Terme,4
2020-05-02,Alta Val di Cecina Val d'Era,Calcinaia,1
2020-05-02,Alta Val di Cecina Val d'Era,Palaia,1
2020-05-02,Alta Val di Cecina Val d'Era,Pontedera,1
2020-05-02,Zona Livornese,Livorno,6
2020-05-02,Bassa Val di Cecina Val di Cornia,Rosignano Marittimo,2
2020-05-02,Versilia,Forte dei Marmi,1
2020-05-02,Versilia,Pietrasanta,3
2020-05-02,Versilia,Seravezza,1
2020-05-02,Versilia,Viareggio,4
