2020-04-11,Apuane,Carrara,,,,,
2020-04-11,Apuane,Massa,1,,,,
2020-04-11,Apuane,Montignoso ,,,,,
2020-04-11,Lunigiana,Bagnone,,,,,
2020-04-11,Lunigiana,Licciana Nardi,,,,,
2020-04-11,Lunigiana,Pontremoli,,,,,
2020-04-11,Lunigiana,Fivizzano,2,,,,
2020-04-11,Lunigiana,Aulla,1,,,,
2020-04-11,Piana di Lucca,Altopascio,,,,,
2020-04-11,Piana di Lucca,Lucca,,,,,
2020-04-11,Valle del Serchio,Bagni di Lucca,,,,,
2020-04-11,Valle del Serchio,Castelnuovo Garfagnana,,,,,
2020-04-11,Valle del Serchio,Gallicano,,,,,
2020-04-11,Zona Pisana,Cascina,,,,,
2020-04-11,Zona Pisana,Pisa,1,,,,
2020-04-11,Zona Pisana,San Giuliano Terme,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Calcinaia ,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Casciana Terme Lari,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Palaia,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Peccioli ,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Ponsacco ,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Pontedera,,,,,
2020-04-11,Alta  Val di Cecina Val d'Era,Volterra,,,,,
2020-04-11,Zona Livornese,Livorno,,,,,
2020-04-11,Elba,Portoferraio,,,,,
2020-04-11,Bassa Val di Cecina Val di Cornia,Bibbona,,,,,
2020-04-11,Bassa Val di Cecina Val di Cornia,Castagneto Carducci,,,,,
2020-04-11,Bassa Val di Cecina Val di Cornia,Castellina Marittima,,,,,
2020-04-11,Bassa Val di Cecina Val di Cornia,Cecina,,,,,
2020-04-11,Versilia,Camaiore,,,,,
2020-04-11,Versilia,Forte dei Marmi ,,,,,
2020-04-11,Versilia,Massarosa,,,,,
2020-04-11,Versilia,Pietrasanta,,,,,
2020-04-11,Versilia,Seravezza,,,,,
2020-04-11,Versilia,Stazzema ,,,,,
2020-04-11,Versilia,Viareggio ,,,,,
2020-04-11,Toscana,Toscana,,34,0,,
